From     to
P2RY12   P2Y12_HUMAN
P2RY14   P2Y14_HUMAN
ADCYAP1  PACA_HUMAN
ADCYAP1R  PACR_HUMAN
F2R      PAR1_HUMAN
F2RL1    PAR2_HUMAN
F2RL3    PAR4_HUMAN
F2RL2    PAR3_HUMAN
PTGDR2   PD2R2_HUMAN
PTGDR    PD2R_HUMAN
PDE4D    PDE4D_HUMAN
PTGER1   PE2R1_HUMAN
PTGER2   PE2R2_HUMAN
PTGER3   PE2R3_HUMAN
PTGER4   PE2R4_HUMAN
PTGFR    PF2R_HUMAN
PTGIR    PI2R_HUMAN
PROKR1   PKR1_HUMAN
PROKR2   PKR2_HUMAN
PRLHR    PRLHR_HUMAN
GPR65    PSYR_HUMAN
PTAFR    PTAFR_HUMAN
PTH1R    PTH1R_HUMAN
PTH2R    PTH2R_HUMAN
QRFPR    QRFPR_HUMAN
RGS7BP   R7BP_HUMAN
RGS9BP   R9BP_HUMAN
RAMP1    RAMP1_HUMAN
RGR      RGR_HUMAN
RHBDF1   RHDF1_HUMAN
GRK1     RK_HUMAN
RAPGEF2  RPGF2_HUMAN
RXFP1    RXFP1_HUMAN
RXFP2    RXFP2_HUMAN
S1PR1    S1PR1_HUMAN
S1PR4    S1PR4_HUMAN
S1PR2    S1PR2_HUMAN
S1PR5    S1PR5_HUMAN
S1PR3    S1PR3_HUMAN
SEC24B   SC24B_HUMAN
SEC24D   SC24D_HUMAN
SCTR     SCTR_HUMAN
SMO      SMO_HUMAN
SSTR1    SSR1_HUMAN
SSTR2    SSR2_HUMAN
SSTR3    SSR3_HUMAN
SSTR4    SSR4_HUMAN
SSTR5    SSR5_HUMAN
SUCNR1   SUCR1_HUMAN
TAS2R13  T2R13_HUMAN
TAS2R10  T2R10_HUMAN
TAS2R14  T2R14_HUMAN
TAS2R20  T2R20_HUMAN
TAS2R19  T2R19_HUMAN
TAS2R30  T2R30_HUMAN
TAS2R31  T2R31_HUMAN
TAS2R16  T2R16_HUMAN
TAS2R38  T2R38_HUMAN
TAS2R39  T2R39_HUMAN
TAS2R40  T2R40_HUMAN
TAS2R41  T2R41_HUMAN
TAS2R42  T2R42_HUMAN
TAS2R43  T2R43_HUMAN
TAS2R46  T2R46_HUMAN
TAS2R45  T2R45_HUMAN
TAS2R50  T2R50_HUMAN
TAS2R60  T2R60_HUMAN
TAS2R1   TA2R1_HUMAN
TAS2R4   TA2R4_HUMAN
TAS2R3   TA2R3_HUMAN
TAS2R7   TA2R7_HUMAN
TAS2R5   TA2R5_HUMAN
TAS2R8   TA2R8_HUMAN
TAS2R9   TA2R9_HUMAN
TBXA2R   TA2R_HUMAN
TAAR3P   TAAR3_HUMAN
TAAR1    TAAR1_HUMAN
TAAR9    TAAR9_HUMAN
TAAR2    TAAR2_HUMAN
TAAR8    TAAR8_HUMAN
TAAR6    TAAR6_HUMAN
TAAR5    TAAR5_HUMAN
TRHR     TRFR_HUMAN
TAS1R1   TS1R1_HUMAN
TAS1R2   TS1R2_HUMAN
TAS1R3   TS1R3_HUMAN
TSHR     TSHR_HUMAN
USP20    UBP20_HUMAN
USP33    UBP33_HUMAN
UBQLN2   UBQL2_HUMAN
UTS2R    UR2R_HUMAN
AVPR1A   V1AR_HUMAN
AVPR1B   V1BR_HUMAN
AVPR2    V2R_HUMAN
VIPR1    VIPR1_HUMAN
VIPR2    VIPR2_HUMAN
VN1R3    VN1R3_HUMAN
XCR1     XCR1_HUMAN
